Step	48ept-4tpk-2itr	64ept-8tpk-1itr	64ept-4tpk-2itr
10	10.74333668	10.76563358	10.69860268
20	8.844105721	8.826625824	8.818906784
30	7.423182964	7.461434364	7.431025505
40	5.859697819	5.924656868	5.884853363
50	4.800350189	4.834015369	4.822421074
60	4.231004238	4.266620636	4.262097359
70	3.888817787	3.912312746	3.915868282
80	3.640521526	3.659116507	3.677243948
90	3.458657742	3.465150356	3.463190556
100	3.295753956	3.30034399	3.294310093
110	3.152647018	3.158678055	3.166961908
120	3.041582584	3.040394306	3.032423973
130	2.923719883	2.919723749	2.926018953
140	2.845236778	2.840049744	2.85656786
150	2.761911392	2.758672714	2.777275085
160	2.712616682	2.701826096	2.702616692
170	2.638242245	2.631469011	2.633667469
180	2.573466301	2.569130898	2.566559315
190	2.510605097	2.507080555	2.497225285
200	2.473175526	2.46324873	2.445200205
210	2.439056873	2.417980194	2.401477098
220	2.39817667	2.379936218	2.353370667
230	2.361268997	2.337273598	2.298359394
240	2.328320503	2.309337378	2.264090061
250	2.290403843	2.273103714	2.218114138
260	2.256968498	2.236288071	2.180417776
270	2.237204552	2.216711044	2.159545898
280	2.217481136	2.183704853	2.111598492
290	2.181865692	2.151681185	2.068918228
300	2.145136118	2.114302635	2.046645641
310	2.132787228	2.098594427	2.022927284
320	2.104920387	2.060603857	2.004862785
330	2.082160473	2.042669058	1.983227015
340	2.08596468	2.012349606	1.963606954
350	2.059519291	1.993458748	1.942472935
360	2.030814171	1.958251476	1.909653425
370	2.000985622	1.948740959	1.886824369
380	1.954276443	1.906716108	1.855841994
390	1.943940163	1.898306847	1.841070175
400	1.930477738	1.88208425	1.82468462
410	1.895838976	1.852760434	1.796989918
420	1.861147285	1.818402052	1.772759676
430	1.835277081	1.802271724	1.750864267
440	1.816522479	1.788898945	1.737960815
450	1.782689452	1.757439137	1.701853871
460	1.771161437	1.740246534	1.686190367
470	1.749181867	1.724627733	1.682761431
480	1.74266994	1.711725593	1.664669514
490	1.725997806	1.700979829	1.654480696
500	1.709427357	1.675436974	1.627960443
510	1.70091486	1.667341232	1.620879412
520	1.681455255	1.648078442	1.592807651
530	1.660775661	1.63440156	1.572214603
540	1.653799772	1.617514849	1.556744576
550	1.639559865	1.606177211	1.55328083
560	1.619039536	1.592329741	1.535464287
570	1.595254421	1.57112968	1.514647007
580	1.587406158	1.568157196	1.508956432
590	1.595644951	1.559421062	1.501615047
600	1.578720093	1.550465465	1.48460722
610	1.57602644	1.550020695	1.482624412
620	1.55360496	1.52963233	1.469753504
630	1.545855522	1.509016037	1.454761744
640	1.533836961	1.492157817	1.436092734
650	1.53433013	1.492892027	1.425336838
660	1.514190674	1.482937694	1.410808444
670	1.493800163	1.469289303	1.39413178
680	1.478200436	1.453503609	1.384478688
690	1.465111494	1.446767569	1.375787973
700	1.454901099	1.433520913	1.361074924
710	1.45080471	1.429525733	1.35409379
720	1.437749028	1.414609551	1.340461016
730	1.421841145	1.406330109	1.330868244
740	1.411724567	1.397850752	1.319625735
750	1.408257484	1.381210327	1.306762457
760	1.397244453	1.3770051	1.297776937
770	1.3875103	1.373499393	1.293131471
780	1.376731396	1.358383894	1.292775154
790	1.372570753	1.36024797	1.286406755
800	1.361380816	1.341783166	1.274133086
810	1.356868505	1.338053942	1.261032343
820	1.345254183	1.320175886	1.244722962
830	1.32869482	1.310213089	1.228373051
840	1.325225115	1.298290014	1.218550205
850	1.317184687	1.29234457	1.22456038
860	1.303825736	1.286215901	1.210574985
870	1.290914059	1.27883625	1.195282936
880	1.290734291	1.270769119	1.192878246
890	1.291539431	1.263337612	1.192130208
900	1.280246735	1.254709601	1.184989095
910	1.269478559	1.244851589	1.1760782
920	1.251144886	1.229247332	1.160181522
930	1.234750509	1.218208313	1.150901318
940	1.228292108	1.213256359	1.150952458
950	1.228851795	1.211793184	1.14633286
960	1.221347332	1.210044026	1.141440392
970	1.223569632	1.21292448	1.139963865
980	1.211796284	1.196072102	1.126794457
990	1.21404314	1.19566226	1.12253952
1000	1.209517956	1.195848823	1.121082544
