Step	64ept-8tpk-1itr-8lyr	64ept-8tpk-1itr-12lyr	64ept-8tpk-2itr	64ept-8tpk-1itr
10	10.31910706	10.07189083	10.67991924	10.76563358
20	8.692710876	8.697475433	8.79227829	8.826625824
30	7.387824059	7.321563721	7.402413368	7.461434364
40	5.836307526	5.773454666	5.863265514	5.924656868
50	4.787714958	4.715950489	4.802293301	4.834015369
60	4.211150169	4.15790081	4.237330437	4.266620636
70	3.873970985	3.830901384	3.897893429	3.912312746
80	3.620984077	3.566266298	3.661100864	3.659116507
90	3.421302795	3.381984949	3.452250719	3.465150356
100	3.248168707	3.222732067	3.288877964	3.30034399
110	3.109232426	3.090717793	3.154160976	3.158678055
120	2.993069172	2.96947813	3.025715351	3.040394306
130	2.868103981	2.850812197	2.92015028	2.919723749
140	2.799334049	2.774026394	2.844131947	2.840049744
150	2.708916187	2.703854561	2.76834631	2.758672714
160	2.635590076	2.641859531	2.694094658	2.701826096
170	2.560719013	2.552645206	2.628355742	2.631469011
180	2.491187811	2.485743523	2.560017586	2.569130898
190	2.425477505	2.425728559	2.498458385	2.507080555
200	2.359553337	2.362981319	2.437645435	2.46324873
210	2.332524538	2.329311848	2.400878906	2.417980194
220	2.276788473	2.285241365	2.353013515	2.379936218
230	2.235778332	2.255278587	2.311457634	2.337273598
240	2.196012974	2.207094669	2.26307559	2.309337378
250	2.158891678	2.154852867	2.224040031	2.273103714
260	2.130407333	2.11368084	2.176874638	2.236288071
270	2.096610546	2.088207006	2.152269363	2.216711044
280	2.065829277	2.058612823	2.106342077	2.183704853
290	2.030319214	2.019244194	2.069873333	2.151681185
300	2.006018162	1.987192988	2.039546013	2.114302635
310	1.984928846	1.969150305	2.025249004	2.098594427
320	1.966571331	1.939946175	1.996205688	2.060603857
330	1.945215225	1.933159828	1.981042147	2.042669058
340	1.925609112	1.90458703	1.960875273	2.012349606
350	1.90410471	1.880390167	1.938359261	1.993458748
360	1.87768364	1.848358631	1.90284276	1.958251476
370	1.856687307	1.83065629	1.885819197	1.948740959
380	1.814644814	1.798729658	1.851743221	1.906716108
390	1.807729721	1.775381327	1.848785877	1.898306847
400	1.790920973	1.761887431	1.826887131	1.88208425
410	1.761142969	1.736288548	1.793661594	1.852760434
420	1.734982491	1.717602015	1.76665163	1.818402052
430	1.716478109	1.694517255	1.74645257	1.802271724
440	1.695411444	1.675982237	1.732074142	1.788898945
450	1.663441181	1.642004251	1.697207093	1.757439137
460	1.645934463	1.625409961	1.678391814	1.740246534
470	1.636232376	1.61960578	1.671768188	1.724627733
480	1.630279064	1.617466688	1.660416126	1.711725593
490	1.621546507	1.59814024	1.645050883	1.700979829
500	1.601457834	1.572198391	1.629641652	1.675436974
510	1.595703006	1.567459464	1.619324684	1.667341232
520	1.570237637	1.545848131	1.591088533	1.648078442
530	1.561910033	1.535205603	1.568511009	1.63440156
540	1.541805029	1.521128416	1.560721636	1.617514849
550	1.532577515	1.509243846	1.547962785	1.606177211
560	1.512039542	1.491377831	1.537084103	1.592329741
570	1.494734764	1.465475559	1.513302326	1.57112968
580	1.491404772	1.46713686	1.509652376	1.568157196
590	1.472868443	1.459596634	1.502431631	1.559421062
600	1.472523212	1.449923754	1.493939161	1.550465465
610	1.461192966	1.445797443	1.494875431	1.550020695
620	1.44251132	1.422197104	1.475259304	1.52963233
630	1.430428505	1.409456968	1.452711344	1.509016037
640	1.413631558	1.393217325	1.439770699	1.492157817
650	1.408194304	1.394252539	1.436087132	1.492892027
660	1.399260283	1.377517343	1.418788314	1.482937694
670	1.378164768	1.358643532	1.403137445	1.469289303
680	1.368152261	1.345040321	1.386421323	1.453503609
690	1.361087084	1.327642798	1.374288321	1.446767569
700	1.353191853	1.318882942	1.364798188	1.433520913
710	1.34224534	1.319463849	1.359205842	1.429525733
720	1.330653906	1.301684856	1.340724468	1.414609551
730	1.311939478	1.287505388	1.333665371	1.406330109
740	1.30389905	1.273635149	1.319119692	1.397850752
750	1.298840761	1.272159815	1.307464838	1.381210327
760	1.285968184	1.255903244	1.303906441	1.3770051
770	1.278367996	1.248978615	1.298873067	1.373499393
780	1.271164894	1.241833448	1.297434807	1.358383894
790	1.266665697	1.226876974	1.287815094	1.36024797
800	1.256115437	1.220063925	1.274381638	1.341783166
810	1.246203184	1.214620471	1.259601355	1.338053942
820	1.231696606	1.200274467	1.245022297	1.320175886
830	1.214083672	1.18802011	1.258637667	1.310213089
840	1.224600673	1.167985439	1.23287046	1.298290014
850	1.204671383	1.172224998	1.223079801	1.29234457
860	1.193514109	1.165461063	1.209750414	1.286215901
870	1.186030388	1.152217627	1.19454205	1.27883625
880	1.188497305	1.146076441	1.191163063	1.270769119
890	1.186454177	1.141210794	1.193255663	1.263337612
900	1.176265478	1.126997828	1.17668581	1.254709601
910	1.166299105	1.115181208	1.164922714	1.244851589
920	1.150737166	1.100598097	1.144763708	1.229247332
930	1.132859707	1.091345191	1.138147593	1.218208313
940	1.126041055	1.089463353	1.138155341	1.213256359
950	1.132572174	1.095549703	1.144863844	1.211793184
960	1.128697395	1.084228039	1.138341427	1.210044026
970	1.126620054	1.097041965	1.137399673	1.21292448
980	1.120176911	1.080482244	1.12511158	1.196072102
990	1.105832696	1.076233149	1.119929314	1.19566226
1000	1.109237194	1.070180893	1.120011806	1.195848823
