Step	dsv2_coe_3-ab_64ept-8tpk-2itr-noig - val/loss	dsv2_coe_3-ab_64ept-8tpk-2itr-ore - val/loss	dsv2_coe_3-cc_64ept-8tpk-2itr - val/loss	dsv2_coe_3-fl_64ept-8tpk-1itr - val/loss
10	10.94709396	10.93309784	10.67991924	10.76563358
20	9.077583313	9.070739746	8.79227829	8.826625824
30	7.62537384	7.669334412	7.402413368	7.461434364
40	6.055239677	6.094398975	5.863265514	5.924656868
50	4.902825356	4.931185722	4.802293301	4.834015369
60	4.354085922	4.35073185	4.237330437	4.266620636
70	4.010908604	3.99361372	3.897893429	3.912312746
80	3.758388996	3.747418404	3.661100864	3.659116507
90	3.559144497	3.523013592	3.452250719	3.465150356
100	3.383032084	3.354520798	3.288877964	3.30034399
110	3.236782074	3.220594645	3.154160976	3.158678055
120	3.105106115	3.091231823	3.025715351	3.040394306
130	3.002552509	2.981859446	2.92015028	2.919723749
140	2.922503471	2.905173779	2.844131947	2.840049744
150	2.85082531	2.839738846	2.76834631	2.758672714
160	2.766517639	2.756080389	2.694094658	2.701826096
170	2.710945845	2.693685055	2.628355742	2.631469011
180	2.643704891	2.626868248	2.560017586	2.569130898
190	2.569948196	2.563881397	2.498458385	2.507080555
200	2.521115303	2.509991169	2.437645435	2.46324873
210	2.487780571	2.47045207	2.400878906	2.417980194
220	2.450299263	2.429057121	2.353013515	2.379936218
230	2.41181922	2.387521982	2.311457634	2.337273598
240	2.370373249	2.358990192	2.26307559	2.309337378
250	2.337768316	2.317219019	2.224040031	2.273103714
260	2.297744274	2.276452541	2.176874638	2.236288071
270	2.275134325	2.25028491	2.152269363	2.216711044
280	2.25180769	2.229442835	2.106342077	2.183704853
290	2.221897125	2.181954145	2.069873333	2.151681185
300	2.195334911	2.1490767	2.039546013	2.114302635
310	2.195561886	2.124736309	2.025249004	2.098594427
320	2.164431572	2.107228518	1.996205688	2.060603857
330	2.136173725	2.072289944	1.981042147	2.042669058
340	2.123526096	2.040789843	1.960875273	2.012349606
350	2.099996567	2.022789001	1.938359261	1.993458748
360	2.078856945	1.986956716	1.90284276	1.958251476
370	2.064537525	1.965322971	1.885819197	1.948740959
380	2.028324127	1.931211233	1.851743221	1.906716108
390	2.014579535	1.913709998	1.848785877	1.898306847
400	1.997431755	1.891132593	1.826887131	1.88208425
410	1.963390946	1.859535217	1.793661594	1.852760434
420	1.949128389	1.832992673	1.76665163	1.818402052
430	1.919464827	1.821075678	1.74645257	1.802271724
440	1.898751736	1.791749954	1.732074142	1.788898945
450	1.867403269	1.760918975	1.697207093	1.757439137
460	1.855636954	1.745264173	1.678391814	1.740246534
470	1.842146635	1.732512355	1.671768188	1.724627733
480	1.836352825	1.724075079	1.660416126	1.711725593
490	1.809108973	1.709830046	1.645050883	1.700979829
500	1.776191473	1.68005538	1.629641652	1.675436974
510	1.772209883	1.675678015	1.619324684	1.667341232
520	1.746836662	1.651726007	1.591088533	1.648078442
530	1.732780814	1.63240695	1.568511009	1.63440156
540	1.705150604	1.617711067	1.560721636	1.617514849
550	1.702271223	1.604616642	1.547962785	1.606177211
560	1.682820082	1.600226402	1.537084103	1.592329741
570	1.657535434	1.584569335	1.513302326	1.57112968
580	1.659157753	1.566324115	1.509652376	1.568157196
590	1.64172411	1.556504607	1.502431631	1.559421062
600	1.633640766	1.5523386	1.493939161	1.550465465
610	1.631428599	1.551800013	1.494875431	1.550020695
620	1.604843378	1.530242682	1.475259304	1.52963233
630	1.597624421	1.506742358	1.452711344	1.509016037
640	1.576359987	1.495433211	1.439770699	1.492157817
650	1.568147182	1.485071182	1.436087132	1.492892027
660	1.553046703	1.474167824	1.418788314	1.482937694
670	1.537469149	1.45554173	1.403137445	1.469289303
680	1.528846025	1.443078399	1.386421323	1.453503609
690	1.526305676	1.429428577	1.374288321	1.446767569
700	1.508121729	1.417845726	1.364798188	1.433520913
710	1.496868968	1.410850406	1.359205842	1.429525733
720	1.48239851	1.403970003	1.340724468	1.414609551
730	1.471926332	1.380904675	1.333665371	1.406330109
740	1.456739426	1.379093051	1.319119692	1.397850752
750	1.447220802	1.365416288	1.307464838	1.381210327
760	1.433420181	1.362838507	1.303906441	1.3770051
770	1.432276726	1.349355936	1.298873067	1.373499393
780	1.424910307	1.34583652	1.297434807	1.358383894
790	1.418806076	1.34084928	1.287815094	1.36024797
800	1.402778864	1.325324535	1.274381638	1.341783166
810	1.396828771	1.318902254	1.259601355	1.338053942
820	1.385208607	1.30720973	1.245022297	1.320175886
830	1.374682903	1.291557193	1.258637667	1.310213089
840	1.364340782	1.284852028	1.23287046	1.298290014
850	1.366265893	1.273922563	1.223079801	1.29234457
860	1.350341201	1.263530612	1.209750414	1.286215901
870	1.337250471	1.254149437	1.19454205	1.27883625
880	1.331047416	1.253262281	1.191163063	1.270769119
890	1.324328303	1.249717236	1.193255663	1.263337612
900	1.321772933	1.244677424	1.17668581	1.254709601
910	1.307717919	1.230610967	1.164922714	1.244851589
920	1.286887288	1.216050029	1.144763708	1.229247332
930	1.286376476	1.210992217	1.138147593	1.218208313
940	1.278704405	1.204221487	1.138155341	1.213256359
950	1.26666975	1.192501307	1.144863844	1.211793184
960	1.261964321	1.19370985	1.138341427	1.210044026
970	1.269898176	1.195448756	1.137399673	1.21292448
980	1.252329111	1.186161995	1.12511158	1.196072102
990	1.246671677	1.181600809	1.119929314	1.19566226
1000	1.243871689	1.175465822	1.120011806	1.195848823
